2026-04-26T00:31:25.818138425Z [info] INFO:     100.64.0.11:19358 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T01:14:07.717897721Z [info] INFO:     100.64.0.30:33164 - "GET / HTTP/1.1" 200 OK
2026-04-26T01:36:38.377010694Z [info] INFO:     100.64.0.8:26826 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T02:40:41.673421906Z [info] INFO:     100.64.0.8:47112 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T03:47:35.182884224Z [info] INFO:     100.64.0.14:47194 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T04:02:06.094802028Z [info] INFO:     100.64.0.28:36306 - "GET / HTTP/1.1" 200 OK
2026-04-26T04:46:18.020723411Z [info] INFO:     100.64.0.20:40976 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T05:49:31.110294921Z [info] INFO:     100.64.0.34:50300 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T06:18:52.194809697Z [error] 2026-04-26 06:18:44,706 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/psi/scores "HTTP/1.1 200 "
2026-04-27T03:36:01.384422439Z [info] INFO:     100.64.0.55:24686 - "GET /sites/default/settings.php HTTP/1.1" 404 Not Found
2026-04-27T03:36:01.476385412Z [info] INFO:     100.64.0.45:17214 - "GET /sites/default/settings.php.bak HTTP/1.1" 404 Not Found
2026-04-27T03:36:01.483864327Z [info] INFO:     100.64.0.40:36362 - "GET /config/settings.inc.php HTTP/1.1" 404 Not Found
2026-04-27T03:36:01.491846272Z [info] INFO:     100.64.0.44:11256 - "GET /app/etc/local.xml HTTP/1.1" 404 Not Found
2026-04-27T03:36:01.502224029Z [info] INFO:     100.64.0.55:24686 - "GET /admin/config.php HTTP/1.1" 404 Not Found
2026-04-27T03:36:01.544167671Z [info] INFO:     100.64.0.54:24972 - "GET /app/etc/env.php HTTP/1.1" 404 Not Found
2026-04-27T03:36:01.618640286Z [info] INFO:     100.64.0.45:17214 - "GET /config/database.js HTTP/1.1" 404 Not Found
2026-04-27T03:36:01.638364842Z [info] INFO:     100.64.0.40:36362 - "GET /config/server.js HTTP/1.1" 404 Not Found
2026-04-27T03:36:01.644385783Z [info] INFO:     100.64.0.55:24686 - "GET /.vscode/launch.json HTTP/1.1" 404 Not Found
2026-04-27T03:36:01.653160859Z [info] INFO:     100.64.0.44:11256 - "GET /.vscode/settings.json HTTP/1.1" 404 Not Found
2026-04-27T03:43:31.698277974Z [info] INFO:     100.64.0.12:60714 - "GET /wp-json/gravitysmtp/v1/tests/mock-data?page=gravitysmtp-settings HTTP/1.1" 404 Not Found
2026-04-27T03:43:31.698283802Z [info] INFO:     100.64.0.36:45488 - "GET / HTTP/1.1" 200 OK
2026-04-27T03:43:31.698287562Z [info] INFO:     100.64.0.15:36076 - "GET / HTTP/1.1" 200 OK
2026-04-27T03:50:01.982844948Z [info] INFO:     100.64.0.41:19986 - "GET /monitor HTTP/1.1" 200 OK
2026-04-27T04:33:35.027686565Z [info] INFO:     100.64.0.18:17002 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-27T05:20:17.584763281Z [info] INFO:     100.64.0.39:13614 - "GET / HTTP/1.1" 200 OK
2026-04-27T05:20:20.493050082Z [error] 2026-04-27 05:20:20,489 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/scores params=None
2026-04-27T05:20:21.419318636Z [error] 2026-04-27 05:20:21,347 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/scores "HTTP/1.1 200 "
2026-04-27T05:20:21.419325950Z [error] 2026-04-27 05:20:21,356 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/scores 200 (38127 bytes)
2026-04-27T05:20:21.419330047Z [error] 2026-04-27 05:20:21,356 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/psi/scores params=None
2026-04-27T05:20:21.712202883Z [error] 2026-04-27 05:20:21,709 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/psi/scores "HTTP/1.1 200 "
2026-04-27T05:20:21.712208008Z [error] 2026-04-27 05:20:21,710 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/psi/scores 200 (6934 bytes)
2026-04-27T05:20:21.714266144Z [error] 2026-04-27 05:20:21,710 INFO [basis_state] Returning 51 entities to client (caching)
2026-04-27T05:20:21.714271425Z [error] 2026-04-27 05:20:21,710 INFO [basis_state] Computing 7d changes for 36 entities
2026-04-27T05:20:21.714276366Z [error] 2026-04-27 05:20:21,710 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDT params={'format': 'json'}
2026-04-27T05:20:21.728267206Z [info] INFO:     100.64.0.43:22174 - "GET /api/entities HTTP/1.1" 200 OK
2026-04-27T05:20:24.929901480Z [error] 2026-04-27 05:20:24,924 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDT?format=json "HTTP/1.1 200 "
2026-04-27T05:20:24.929905318Z [error] 2026-04-27 05:20:24,925 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDT 200 (5109 bytes)
2026-04-27T05:20:24.929908428Z [error] 2026-04-27 05:20:24,925 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USD1 params={'format': 'json'}
2026-04-27T05:20:27.946026310Z [error] 2026-04-27 05:20:27,943 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USD1?format=json "HTTP/1.1 200 "
2026-04-27T05:20:27.946030707Z [error] 2026-04-27 05:20:27,943 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USD1 200 (4511 bytes)
2026-04-27T05:20:27.948091691Z [error] 2026-04-27 05:20:27,944 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDC params={'format': 'json'}
2026-04-27T05:20:31.423834715Z [error] 2026-04-27 05:20:31,052 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDC?format=json "HTTP/1.1 200 "
2026-04-27T05:20:31.423844087Z [error] 2026-04-27 05:20:31,056 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDC 200 (31828 bytes)
2026-04-27T05:20:31.423851730Z [error] 2026-04-27 05:20:31,062 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDS params={'format': 'json'}
2026-04-27T05:20:34.431999958Z [error] 2026-04-27 05:20:34,086 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDS?format=json "HTTP/1.1 200 "
2026-04-27T05:20:34.432006813Z [error] 2026-04-27 05:20:34,087 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDS 200 (2734 bytes)
2026-04-27T05:20:34.432010131Z [error] 2026-04-27 05:20:34,087 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/RLUSD params={'format': 'json'}
2026-04-27T05:20:37.428055023Z [error] 2026-04-27 05:20:37,142 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/RLUSD?format=json "HTTP/1.1 200 "
2026-04-27T05:20:37.428061392Z [error] 2026-04-27 05:20:37,143 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/RLUSD 200 (2807 bytes)
2026-04-27T05:20:37.428065529Z [error] 2026-04-27 05:20:37,143 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDP params={'format': 'json'}
2026-04-27T05:20:40.466745701Z [error] 2026-04-27 05:20:40,172 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/DAI params={'format': 'json'}
2026-04-27T05:20:40.466845332Z [error] 2026-04-27 05:20:40,171 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDP?format=json "HTTP/1.1 200 "
2026-04-27T05:20:40.466848393Z [error] 2026-04-27 05:20:40,172 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDP 200 (3138 bytes)
2026-04-27T05:20:43.449688545Z [error] 2026-04-27 05:20:43,260 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/DAI?format=json "HTTP/1.1 200 "
2026-04-27T05:20:43.449694724Z [error] 2026-04-27 05:20:43,260 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/DAI 200 (3686 bytes)
2026-04-27T05:20:43.449697880Z [error] 2026-04-27 05:20:43,261 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/FDUSD params={'format': 'json'}
2026-04-27T05:20:46.413816149Z [error] 2026-04-27 05:20:46,326 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/FDUSD?format=json "HTTP/1.1 200 "
2026-04-27T05:20:46.413821711Z [error] 2026-04-27 05:20:46,329 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/FDUSD 200 (29274 bytes)
2026-04-27T05:20:46.413824986Z [error] 2026-04-27 05:20:46,329 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDTB params={'format': 'json'}
2026-04-27T05:20:49.520140508Z [error] 2026-04-27 05:20:49,516 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDTB?format=json "HTTP/1.1 200 "
2026-04-27T05:20:49.520147846Z [error] 2026-04-27 05:20:49,517 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDTB 200 (2434 bytes)
2026-04-27T05:20:49.520153391Z [error] 2026-04-27 05:20:49,517 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDD params={'format': 'json'}
2026-04-27T05:20:52.526382503Z [error] 2026-04-27 05:20:52,523 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDD?format=json "HTTP/1.1 200 "
2026-04-27T05:20:52.526386459Z [error] 2026-04-27 05:20:52,523 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDD 200 (2993 bytes)
2026-04-27T05:20:52.526390166Z [error] 2026-04-27 05:20:52,524 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/TUSD params={'format': 'json'}
2026-04-27T05:20:55.889113160Z [error] 2026-04-27 05:20:55,885 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/TUSD?format=json "HTTP/1.1 200 "
2026-04-27T05:20:55.889118946Z [error] 2026-04-27 05:20:55,886 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/TUSD 200 (4802 bytes)
2026-04-27T05:20:55.889122003Z [error] 2026-04-27 05:20:55,886 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/GHO params={'format': 'json'}
2026-04-27T05:20:58.905939315Z [error] 2026-04-27 05:20:58,903 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/GHO?format=json "HTTP/1.1 200 "
2026-04-27T05:20:58.905945884Z [error] 2026-04-27 05:20:58,903 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/GHO 200 (3144 bytes)
2026-04-27T05:20:58.907669409Z [error] 2026-04-27 05:20:58,904 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/PYUSD params={'format': 'json'}
2026-04-27T05:21:01.967495525Z [error] 2026-04-27 05:21:01,965 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/PYUSD?format=json "HTTP/1.1 200 "
2026-04-27T05:21:01.969708406Z [error] 2026-04-27 05:21:01,965 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/PYUSD 200 (4981 bytes)
2026-04-27T05:21:01.969713808Z [error] 2026-04-27 05:21:01,966 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDe params={'format': 'json'}
2026-04-27T05:21:05.005924647Z [error] 2026-04-27 05:21:05,002 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDe?format=json "HTTP/1.1 200 "
2026-04-27T05:21:05.005928890Z [error] 2026-04-27 05:21:05,003 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDe 200 (6391 bytes)
2026-04-27T05:21:05.005932470Z [error] 2026-04-27 05:21:05,003 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/MUSD params={'format': 'json'}
2026-04-27T05:21:08.462084051Z [error] 2026-04-27 05:21:08,086 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/MUSD?format=json "HTTP/1.1 200 "
2026-04-27T05:21:08.462092325Z [error] 2026-04-27 05:21:08,087 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/MUSD 200 (2960 bytes)
2026-04-27T05:21:08.462097845Z [error] 2026-04-27 05:21:08,087 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/FRAX params={'format': 'json'}
2026-04-27T05:21:11.454980373Z [error] 2026-04-27 05:21:11,156 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/FRAX?format=json "HTTP/1.1 200 "
2026-04-27T05:21:11.454986690Z [error] 2026-04-27 05:21:11,157 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/FRAX 200 (2793 bytes)
2026-04-27T05:21:11.454990890Z [error] 2026-04-27 05:21:11,157 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/LUSD params={'format': 'json'}
2026-04-27T05:21:14.481173517Z [error] 2026-04-27 05:21:14,201 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/LUSD?format=json "HTTP/1.1 200 "
2026-04-27T05:21:14.481183150Z [error] 2026-04-27 05:21:14,202 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/LUSD 200 (3298 bytes)
2026-04-27T05:21:14.481188036Z [error] 2026-04-27 05:21:14,202 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/DOLA params={'format': 'json'}
2026-04-27T05:21:14.481192633Z [error] 2026-04-27 05:21:14,232 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/DOLA?format=json "HTTP/1.1 429 "
2026-04-27T05:21:14.481196047Z [error] 2026-04-27 05:21:14,232 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/DOLA 429 (56 bytes)
2026-04-27T05:21:14.481201076Z [error] 2026-04-27 05:21:14,232 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:14.481204607Z [error] 2026-04-27 05:21:14,232 WARNING [basis_state] Failed to fetch history for stablecoin:DOLA
2026-04-27T05:21:14.481208016Z [error] 2026-04-27 05:21:14,233 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/crvUSD params={'format': 'json'}
2026-04-27T05:21:14.481211616Z [error] 2026-04-27 05:21:14,259 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/crvUSD?format=json "HTTP/1.1 429 "
2026-04-27T05:21:14.481214981Z [error] 2026-04-27 05:21:14,259 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/crvUSD 429 (56 bytes)
2026-04-27T05:21:14.481218569Z [error] 2026-04-27 05:21:14,259 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:14.481221968Z [error] 2026-04-27 05:21:14,260 WARNING [basis_state] Failed to fetch history for stablecoin:crvUSD
2026-04-27T05:21:14.482786250Z [error] 2026-04-27 05:21:14,260 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/SUSDS params={'format': 'json'}
2026-04-27T05:21:14.482791166Z [error] 2026-04-27 05:21:14,288 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/SUSDS?format=json "HTTP/1.1 429 "
2026-04-27T05:21:14.482795238Z [error] 2026-04-27 05:21:14,289 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/SUSDS 429 (56 bytes)
2026-04-27T05:21:14.482799219Z [error] 2026-04-27 05:21:14,289 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:14.482802782Z [error] 2026-04-27 05:21:14,289 WARNING [basis_state] Failed to fetch history for stablecoin:SUSDS
2026-04-27T05:21:14.482806702Z [error] 2026-04-27 05:21:14,289 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/EURC params={'format': 'json'}
2026-04-27T05:21:14.482810177Z [error] 2026-04-27 05:21:14,320 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/EURC?format=json "HTTP/1.1 429 "
2026-04-27T05:21:14.482813191Z [error] 2026-04-27 05:21:14,321 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/EURC 429 (56 bytes)
2026-04-27T05:21:14.482815865Z [error] 2026-04-27 05:21:14,321 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:14.482819709Z [error] 2026-04-27 05:21:14,321 WARNING [basis_state] Failed to fetch history for stablecoin:EURC
2026-04-27T05:21:14.482822644Z [error] 2026-04-27 05:21:14,321 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/GUSD params={'format': 'json'}
2026-04-27T05:21:17.482362545Z [error] 2026-04-27 05:21:17,344 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/GUSD?format=json "HTTP/1.1 200 "
2026-04-27T05:21:17.482371160Z [error] 2026-04-27 05:21:17,345 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/GUSD 200 (2946 bytes)
2026-04-27T05:21:17.482376201Z [error] 2026-04-27 05:21:17,345 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/SUSDE params={'format': 'json'}
2026-04-27T05:21:17.482382380Z [error] 2026-04-27 05:21:17,369 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/SUSDE?format=json "HTTP/1.1 429 "
2026-04-27T05:21:17.482386540Z [error] 2026-04-27 05:21:17,370 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/SUSDE 429 (56 bytes)
2026-04-27T05:21:17.482390749Z [error] 2026-04-27 05:21:17,370 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:17.482394185Z [error] 2026-04-27 05:21:17,370 WARNING [basis_state] Failed to fetch history for stablecoin:SUSDE
2026-04-27T05:21:17.482397967Z [error] 2026-04-27 05:21:17,370 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/STKGHO params={'format': 'json'}
2026-04-27T05:21:17.482401562Z [error] 2026-04-27 05:21:17,398 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/STKGHO?format=json "HTTP/1.1 429 "
2026-04-27T05:21:17.482404929Z [error] 2026-04-27 05:21:17,408 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/STKGHO 429 (56 bytes)
2026-04-27T05:21:17.482408220Z [error] 2026-04-27 05:21:17,408 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:17.482414379Z [error] 2026-04-27 05:21:17,408 WARNING [basis_state] Failed to fetch history for stablecoin:STKGHO
2026-04-27T05:21:17.484109721Z [error] 2026-04-27 05:21:17,408 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/EURI params={'format': 'json'}
2026-04-27T05:21:17.484113833Z [error] 2026-04-27 05:21:17,439 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/EURI?format=json "HTTP/1.1 429 "
2026-04-27T05:21:17.484116944Z [error] 2026-04-27 05:21:17,439 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/EURI 429 (56 bytes)
2026-04-27T05:21:17.484119980Z [error] 2026-04-27 05:21:17,439 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:17.484123374Z [error] 2026-04-27 05:21:17,440 WARNING [basis_state] Failed to fetch history for stablecoin:EURI
2026-04-27T05:21:17.484126079Z [error] 2026-04-27 05:21:17,440 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/STEAKUSDC params={'format': 'json'}
2026-04-27T05:21:17.484129428Z [error] 2026-04-27 05:21:17,474 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/STEAKUSDC?format=json "HTTP/1.1 429 "
2026-04-27T05:21:17.484132376Z [error] 2026-04-27 05:21:17,475 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/STEAKUSDC 429 (56 bytes)
2026-04-27T05:21:17.484135266Z [error] 2026-04-27 05:21:17,475 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:17.484138674Z [error] 2026-04-27 05:21:17,475 WARNING [basis_state] Failed to fetch history for stablecoin:STEAKUSDC
2026-04-27T05:21:17.484141603Z [error] 2026-04-27 05:21:17,475 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/MIM params={'format': 'json'}
2026-04-27T05:21:17.503816814Z [error] 2026-04-27 05:21:17,501 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/MIM?format=json "HTTP/1.1 429 "
2026-04-27T05:21:17.503821218Z [error] 2026-04-27 05:21:17,502 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/MIM 429 (56 bytes)
2026-04-27T05:21:17.503825103Z [error] 2026-04-27 05:21:17,502 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:17.503828358Z [error] 2026-04-27 05:21:17,502 WARNING [basis_state] Failed to fetch history for stablecoin:MIM
2026-04-27T05:21:17.503831385Z [error] 2026-04-27 05:21:17,502 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/SDOLA params={'format': 'json'}
2026-04-27T05:21:17.535338341Z [error] 2026-04-27 05:21:17,533 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/SDOLA?format=json "HTTP/1.1 429 "
2026-04-27T05:21:17.536704434Z [error] 2026-04-27 05:21:17,534 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/SDOLA 429 (56 bytes)
2026-04-27T05:21:17.536710441Z [error] 2026-04-27 05:21:17,534 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:17.536715228Z [error] 2026-04-27 05:21:17,534 WARNING [basis_state] Failed to fetch history for stablecoin:SDOLA
2026-04-27T05:21:17.536718795Z [error] 2026-04-27 05:21:17,534 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/BUSD0 params={'format': 'json'}
2026-04-27T05:21:17.567532228Z [error] 2026-04-27 05:21:17,564 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/BUSD0?format=json "HTTP/1.1 429 "
2026-04-27T05:21:17.567537248Z [error] 2026-04-27 05:21:17,565 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/BUSD0 429 (56 bytes)
2026-04-27T05:21:17.567540504Z [error] 2026-04-27 05:21:17,565 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:17.567544565Z [error] 2026-04-27 05:21:17,565 WARNING [basis_state] Failed to fetch history for stablecoin:BUSD0
2026-04-27T05:21:17.567548468Z [error] 2026-04-27 05:21:17,565 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/OUSD params={'format': 'json'}
2026-04-27T05:21:17.601681704Z [error] 2026-04-27 05:21:17,599 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/OUSD?format=json "HTTP/1.1 429 "
2026-04-27T05:21:17.601685949Z [error] 2026-04-27 05:21:17,599 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/OUSD 429 (56 bytes)
2026-04-27T05:21:17.601689451Z [error] 2026-04-27 05:21:17,599 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:17.601693124Z [error] 2026-04-27 05:21:17,599 WARNING [basis_state] Failed to fetch history for stablecoin:OUSD
2026-04-27T05:21:17.601697510Z [error] 2026-04-27 05:21:17,599 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/FRAX params={'format': 'json'}
2026-04-27T05:21:17.629817867Z [error] 2026-04-27 05:21:17,627 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/FRAX?format=json "HTTP/1.1 429 "
2026-04-27T05:21:17.630919328Z [error] 2026-04-27 05:21:17,627 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/FRAX 429 (56 bytes)
2026-04-27T05:21:17.630923071Z [error] 2026-04-27 05:21:17,627 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:17.630926219Z [error] 2026-04-27 05:21:17,627 WARNING [basis_state] Failed to fetch history for stablecoin:FRAX
2026-04-27T05:21:17.630928763Z [error] 2026-04-27 05:21:17,628 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/sUSD params={'format': 'json'}
2026-04-27T05:21:17.659614314Z [error] 2026-04-27 05:21:17,657 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/sUSD?format=json "HTTP/1.1 429 "
2026-04-27T05:21:17.661612511Z [error] 2026-04-27 05:21:17,658 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/sUSD 429 (56 bytes)
2026-04-27T05:21:17.661616314Z [error] 2026-04-27 05:21:17,658 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-27T05:21:17.661620084Z [error] 2026-04-27 05:21:17,658 WARNING [basis_state] Failed to fetch history for stablecoin:sUSD
2026-04-27T05:21:17.661623174Z [error] 2026-04-27 05:21:17,658 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDD (BTTC bridge) params={'format': 'json'}
